1976 US Standard Atmosphere, tabulated
Altitude(km)	Pressure(pascals)	 T (deg K	 Rho(kg/M^2)	mu(Nt-sec/M^2) 	 SonicVelocity(m/sec)`	
34.20000000	627.56382795	234.80999379	0.00931063	0.00001520	307.18740549
34.40000000	609.58685491	235.36999378	0.00902240	0.00001523	307.55349404
34.60000000	592.16574210	235.92999377	0.00874375	0.00001526	307.91914734
34.80000000	575.28204326	236.48999376	0.00847434	0.00001529	308.28436695
35.00000000	558.91796585	237.04999375	0.00821383	0.00001532	308.64915440
35.20000000	543.05634641	237.60999374	0.00796192	0.00001534	309.01351122
35.40000000	527.68062692	238.16999373	0.00771830	0.00001537	309.37743893
35.60000000	512.77483207	238.72999372	0.00748269	0.00001540	309.74093905
35.80000000	498.32354747	239.28999372	0.00725479	0.00001543	310.10401308
36.00000000	484.31189872	239.84999371	0.00703434	0.00001546	310.46666251
36.20000000	470.72553125	240.40999370	0.00682108	0.00001549	310.82888884
36.40000000	457.55059105	240.96999369	0.00661476	0.00001552	311.19069353
36.60000000	444.77370610	241.52999368	0.00641514	0.00001555	311.55207807
36.80000000	432.38196851	242.08999367	0.00622198	0.00001558	311.91304389
37.00000000	420.36291744	242.64999366	0.00603506	0.00001561	312.27359247
37.20000000	408.70452256	243.20999365	0.00585418	0.00001564	312.63372525
37.40000000	397.39516833	243.76999364	0.00567911	0.00001567	312.99344365
37.60000000	386.42363871	244.32999363	0.00550966	0.00001570	313.35274910
37.80000000	375.77910260	244.88999362	0.00534564	0.00001573	313.71164303
38.00000000	365.45109976	245.44999361	0.00518685	0.00001576	314.07012685
38.20000000	355.42952732	246.00999360	0.00503313	0.00001578	314.42820195
38.40000000	345.70462682	246.56999359	0.00488430	0.00001581	314.78586974
38.60000000	336.26697167	247.12999358	0.00474020	0.00001584	315.14313160
38.80000000	327.10745519	247.68999357	0.00460066	0.00001587	315.49998890
39.00000000	318.21727906	248.24999356	0.00446552	0.00001590	315.85644303
39.20000000	309.58794222	248.80999355	0.00433465	0.00001593	316.21249534
39.40000000	301.21123014	249.36999354	0.00420789	0.00001596	316.56814719
39.60000000	293.07920465	249.92999353	0.00408512	0.00001599	316.92339992
39.80000000	285.18419393	250.48999352	0.00396618	0.00001602	317.27825488
40.00000000	277.51998901	251.05000305	0.00385099	0.00001605	317.63271944
40.20000000	270.07697893	251.61000304	0.00373936	0.00001607	317.98678284
40.40000000	262.84947437	252.17000303	0.00363121	0.00001610	318.34045245
40.60000000	255.83077764	252.73000302	0.00352642	0.00001613	318.69372958
40.80000000	249.01441335	253.29000301	0.00342487	0.00001616	319.04661552
41.00000000	242.39412059	253.85000300	0.00332646	0.00001619	319.39911159
41.20000000	235.96384538	254.41000299	0.00323109	0.00001622	319.75121905
41.40000000	229.71773341	254.97000299	0.00313865	0.00001625	320.10293921
41.60000000	223.65012298	255.53000298	0.00304905	0.00001628	320.45427333
41.80000000	217.75553834	256.09000297	0.00296220	0.00001630	320.80522268
42.00000000	212.02868314	256.65000296	0.00287800	0.00001633	321.15578853
42.20000000	206.46443419	257.21000295	0.00279637	0.00001636	321.50597212
42.40000000	201.05783544	257.77000294	0.00271723	0.00001639	321.85577471
42.60000000	195.80409220	258.33000293	0.00264049	0.00001642	322.20519754
42.80000000	190.69856553	258.89000292	0.00256608	0.00001645	322.55424183
43.00000000	185.73676686	259.45000291	0.00249392	0.00001647	322.90290883
43.20000000	180.91435282	260.01000290	0.00242393	0.00001650	323.25119974
43.40000000	176.22712023	260.57000289	0.00235606	0.00001653	323.59911579
43.60000000	171.67100132	261.13000288	0.00229022	0.00001656	323.94665817
43.80000000	167.24205902	261.69000287	0.00222636	0.00001659	324.29382811
44.00000000	162.93648258	262.25000286	0.00216442	0.00001662	324.64062677
44.20000000	158.75058321	262.81000285	0.00210432	0.00001664	324.98705537
44.40000000	154.68078993	263.37000284	0.00204601	0.00001667	325.33311507
44.60000000	150.72364557	263.93000283	0.00198944	0.00001670	325.67880706
44.80000000	146.87580293	264.49000282	0.00193454	0.00001673	326.02413250
45.00000000	143.13402105	265.05000281	0.00188128	0.00001676	326.36909255
45.20000000	139.49516161	265.61000280	0.00182958	0.00001679	326.71368839
45.40000000	135.95618550	266.17000279	0.00177942	0.00001681	327.05792115
45.60000000	132.51414945	266.73000278	0.00173073	0.00001684	327.40179198
45.80000000	129.16620285	267.29000278	0.00168346	0.00001687	327.74530202
46.00000000	125.90958462	267.85000277	0.00163759	0.00001690	328.08845240
46.20000000	122.74162025	268.41000276	0.00159306	0.00001693	328.43124426
46.40000000	119.65971886	268.97000275	0.00154982	0.00001695	328.77367870
46.60000000	116.66137049	269.53000274	0.00150785	0.00001698	329.11575686
46.80000000	113.74414335	270.09000273	0.00146710	0.00001701	329.45747983
47.00000000	110.89999676	270.64999390	0.00142745	0.00001704	329.79884335
47.20000000	108.13533777	270.64999390	0.00139187	0.00001704	329.79884335
47.40000000	105.43959978	270.64999390	0.00135717	0.00001704	329.79884335
47.60000000	102.81106465	270.64999390	0.00132333	0.00001704	329.79884335
47.80000000	100.24805705	270.64999390	0.00129034	0.00001704	329.79884335
48.00000000	97.74894343	270.64999390	0.00125818	0.00001704	329.79884335
48.20000000	95.31213096	270.64999390	0.00122681	0.00001704	329.79884335
48.40000000	92.93606651	270.64999390	0.00119623	0.00001704	329.79884335
48.60000000	90.61923568	270.64999390	0.00116641	0.00001704	329.79884335
48.80000000	88.36016181	270.64999390	0.00113733	0.00001704	329.79884335
49.00000000	86.15740506	270.64999390	0.00110898	0.00001704	329.79884335
49.20000000	84.00956150	270.64999390	0.00108133	0.00001704	329.79884335
49.40000000	81.91526216	270.64999390	0.00105437	0.00001704	329.79884335
49.60000000	79.87317224	270.64999390	0.00102809	0.00001704	329.79884335
49.80000000	77.88199018	270.64999390	0.00100246	0.00001704	329.79884335
50.00000000	75.94400048	270.64999390	0.00097751	0.00001704	329.79884335
50.20000000	74.05076992	270.64999390	0.00095315	0.00001704	329.79884335
50.40000000	72.20473626	270.64999390	0.00092938	0.00001704	329.79884335
50.60000000	70.40472292	270.64999390	0.00090622	0.00001704	329.79884335
50.80000000	68.64958265	270.64999390	0.00088362	0.00001704	329.79884335
51.00000000	66.93800092	270.64999390	0.00086159	0.00001704	329.79884335
51.20000000	65.26757659	270.08999391	0.00084183	0.00001701	329.45747445
51.40000000	63.63549949	269.52999392	0.00082249	0.00001698	329.11575147
51.60000000	62.04096622	268.96999393	0.00080355	0.00001695	328.77367331
51.80000000	60.48318862	268.40999393	0.00078501	0.00001693	328.43123886
52.00000000	58.96139349	267.84999394	0.00076686	0.00001690	328.08844700
52.20000000	57.47482231	267.28999395	0.00074909	0.00001687	327.74529661
52.40000000	56.02273102	266.72999396	0.00073170	0.00001684	327.40178656
52.60000000	54.60438977	266.16999397	0.00071467	0.00001681	327.05791573
52.80000000	53.21908267	265.60999398	0.00069801	0.00001679	326.71368296
53.00000000	51.86610756	265.04999399	0.00068170	0.00001676	326.36908712
53.20000000	50.54477577	264.48999400	0.00066574	0.00001673	326.02412706
53.40000000	49.25441188	263.92999401	0.00065012	0.00001670	325.67880161
53.60000000	47.99435351	263.36999402	0.00063484	0.00001667	325.33310962
53.80000000	46.76395107	262.80999403	0.00061988	0.00001664	324.98704991
54.00000000	45.56256758	262.24999404	0.00060524	0.00001662	324.64062131
54.20000000	44.38957841	261.68999405	0.00059092	0.00001659	324.29382264
54.40000000	43.24437109	261.12999406	0.00057691	0.00001656	323.94665270
54.60000000	42.12634508	260.56999407	0.00056321	0.00001653	323.59911031
54.80000000	41.03491159	260.00999408	0.00054980	0.00001650	323.25119426
55.00000000	39.96949334	259.44999409	0.00053668	0.00001647	322.90290334
55.20000000	38.92952440	258.88999410	0.00052384	0.00001645	322.55423634
55.40000000	37.91444995	258.32999411	0.00051129	0.00001642	322.20519203
55.60000000	36.92372610	257.76999412	0.00049901	0.00001639	321.85576920
55.80000000	35.95681972	257.20999413	0.00048700	0.00001636	321.50596661
56.00000000	35.01320823	256.64999413	0.00047526	0.00001633	321.15578301
56.20000000	34.09237938	256.08999414	0.00046377	0.00001630	320.80521716
56.40000000	33.19383115	255.52999415	0.00045254	0.00001628	320.45426780
56.60000000	32.31707149	254.96999416	0.00044155	0.00001625	320.10293367
56.80000000	31.46161817	254.40999417	0.00043081	0.00001622	319.75121351
57.00000000	30.62699863	253.84999418	0.00042031	0.00001619	319.39910604
57.20000000	29.81274976	253.28999419	0.00041004	0.00001616	319.04660997
57.40000000	29.01841777	252.72999420	0.00040000	0.00001613	318.69372402
57.60000000	28.24355801	252.16999421	0.00039018	0.00001610	318.34044689
57.80000000	27.48773479	251.60999422	0.00038058	0.00001607	317.98677727
58.00000000	26.75052125	251.04999423	0.00037120	0.00001605	317.63271386
58.20000000	26.03149916	250.48999424	0.00036203	0.00001602	317.27825534
58.40000000	25.33025881	249.92999425	0.00035307	0.00001599	316.92340037
58.60000000	24.64639882	249.36999426	0.00034431	0.00001596	316.56814764
58.80000000	23.97952599	248.80999427	0.00033575	0.00001593	316.21249579
59.00000000	23.32925519	248.24999428	0.00032738	0.00001590	315.85644348
59.20000000	22.69520915	247.68999429	0.00031920	0.00001587	315.49998936
59.40000000	22.07701837	247.12999430	0.00031121	0.00001584	315.14313205
59.60000000	21.47432095	246.56999431	0.00030340	0.00001581	314.78587020
59.80000000	20.88676247	246.00999432	0.00029577	0.00001578	314.42820241
60.00000000	20.31400055	245.44999695	0.00028832	0.00001576	314.07012899
60.20000000	19.75568570	244.88999696	0.00028103	0.00001573	313.71164517
60.40000000	19.21148994	244.32999697	0.00027392	0.00001570	313.35275124
60.60000000	18.68108734	243.76999698	0.00026697	0.00001567	312.99344579
60.80000000	18.16415880	243.20999699	0.00026018	0.00001564	312.63372739
61.00000000	17.66039188	242.64999700	0.00025355	0.00001561	312.27359462
61.20000000	17.16948069	242.08999701	0.00024707	0.00001558	311.91304605
61.40000000	16.69112575	241.52999701	0.00024074	0.00001555	311.55208022
61.60000000	16.22503393	240.96999702	0.00023456	0.00001552	311.19069569
61.80000000	15.77091824	240.40999703	0.00022853	0.00001549	310.82889100
62.00000000	15.32849779	239.84999704	0.00022264	0.00001546	310.46666468
62.20000000	14.89749764	239.28999705	0.00021688	0.00001543	310.10401524
62.40000000	14.47764869	238.72999706	0.00021127	0.00001540	309.74094122
62.60000000	14.06868757	238.16999707	0.00020578	0.00001537	309.37744110
62.80000000	13.67035655	237.60999708	0.00020043	0.00001534	309.01351339
63.00000000	13.28240339	237.04999709	0.00019520	0.00001532	308.64915657
63.20000000	12.90458128	236.48999710	0.00019009	0.00001529	308.28436912
63.40000000	12.53664872	235.92999711	0.00018511	0.00001526	307.91914952
63.60000000	12.17836939	235.36999712	0.00018025	0.00001523	307.55349622
63.80000000	11.82951210	234.80999713	0.00017550	0.00001520	307.18740767
64.00000000	11.48985066	234.24999714	0.00017087	0.00001517	306.82088232
64.20000000	11.15916378	233.68999715	0.00016635	0.00001514	306.45391860
64.40000000	10.83723500	233.12999716	0.00016194	0.00001511	306.08651492
64.60000000	10.52385257	232.56999717	0.00015764	0.00001508	305.71866972
64.80000000	10.21880936	232.00999718	0.00015344	0.00001505	305.35038138
65.00000000	9.92190280	231.44999719	0.00014934	0.00001502	304.98164831
65.20000000	9.63293476	230.88999720	0.00014534	0.00001499	304.61246888
65.40000000	9.35171146	230.32999721	0.00014144	0.00001496	304.24284149
65.60000000	9.07804341	229.76999722	0.00013764	0.00001493	303.87276448
65.80000000	8.81174532	229.20999722	0.00013393	0.00001490	303.50223621
66.00000000	8.55263598	228.64999723	0.00013031	0.00001487	303.13125504
66.20000000	8.30053823	228.08999724	0.00012678	0.00001484	302.75981929
66.40000000	8.05527886	227.52999725	0.00012333	0.00001481	302.38792729
66.60000000	7.81668852	226.96999726	0.00011998	0.00001478	302.01557736
66.80000000	7.58460165	226.40999727	0.00011670	0.00001475	301.64276779
67.00000000	7.35885642	225.84999728	0.00011351	0.00001472	301.26949689
67.20000000	7.13929462	225.28999729	0.00011040	0.00001469	300.89576294
67.40000000	6.92576163	224.72999730	0.00010736	0.00001466	300.52156420
67.60000000	6.71810630	224.16999731	0.00010440	0.00001463	300.14689894
67.80000000	6.51618094	223.60999732	0.00010152	0.00001460	299.77176541
68.00000000	6.31984120	223.04999733	0.00009871	0.00001457	299.39616186
68.20000000	6.12894600	222.48999734	0.00009597	0.00001454	299.02008650
68.40000000	5.94335751	221.92999735	0.00009329	0.00001450	298.64353756
68.60000000	5.76294104	221.36999736	0.00009069	0.00001447	298.26651324
68.80000000	5.58756499	220.80999737	0.00008815	0.00001444	297.88901174
69.00000000	5.41710080	220.24999738	0.00008568	0.00001441	297.51103124
69.20000000	5.25142287	219.68999739	0.00008327	0.00001438	297.13256992
69.40000000	5.09040849	219.12999740	0.00008093	0.00001435	296.75362593
69.60000000	4.93393782	218.56999741	0.00007864	0.00001432	296.37419742
69.80000000	4.78189378	218.00999742	0.00007641	0.00001429	295.99428253
70.00000000	4.63420004	217.44999695	0.00007424	0.00001426	295.61387907
